PSU,O2,temp.,SS,DOC,TPOC,Windspeedinsitu,Depth,Years
3.6,9.34,20.4,70,7.5,10.188,11,2.9,1
3.2,9.63,20.3,66.25,7.572,7.752,6.5,3,1
3.8,8.91,20.5,76.25,7.584,8.508,6,3.5,1
3.4,8.98,20.3,76.25,7.62,10.356,10,3.1,1
3.7,8.42,20.5,92.5,7.764,11.376,10,2.8,1
3.2,8.47,20.1,92.5,8.004,9.36,7,2.9,1
3.1,8.49,19.8,82.5,8.136,8.52,6,2.2,1
4.4,9.96,16.2,98.75,7.8,10.608,7.7,3.4,1
4.3,9.86,16.4,95,7.332,9.789,7.3,3.4,1
4.3,9.79,16.4,113.75,7.41,12.298,6.7,3.2,1
3.9,9.8,16.4,112.5,8.099,10.322,7.6,2.6,1
3.3,9.82,16.1,93.75,8.619,12.051,8.2,2.4,1
3.1,10.58,16.1,103.75,8.2215,10.875,11,1.8,1
4.2,9.9,16.3,111.25,7.25,11.832,7.9,3.3,1
3.7,9.86,16.2,112.5,7.6705,13.63,7,3.1,1
4.5,9.93,16.3,117.5,7.018,13.0645,8.5,3.2,1
4.6,10.02,16.2,115,7.0905,11.4115,10.2,3.3,1
4.5,9.93,16.3,113.75,7.0615,11.7595,9.5,3.4,1
4.2,10.3,16,102.5,7.105,12.441,10.5,3.3,1
4.1,10.1,16,120,7.2065,13.05,11.5,2.2,1
